69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
235,780,815,423,968,726,888,479,38,842,518,912,517,259,961,505,294,731,544,450,907,293,736,428,816,270,388,302,995,195,611,183,16,670,85,342,22,747,739,10,212,577,62,445,981,902,351,371,157,823,79,774,395,159,519,979,779,972
133,579,289,33,660,64,836,735,735,1,984,306,435,83,88,318,78,535,453,245,613,490,496,924,337,685,162,556,792,959,860,213,703,270,370,822,54,729,925,684,533,312,89,605,566,149,537,800,672,853,134,227,307,308,411,63,700,629
2,104,391,362,30,13,326,452,167,889,304,918,924,447,533,550,77,767,333,541,932,892,780,701,455,44,70,455,884,897,231,816,267,853,578,2,422,9,859,54,730,707,746,684,257,245,864,364,116,915,824,403,603,597,417,395,377,563
107,307,140,859,710,743,633,834,349,913,964,338,869,115,209,558,245,973,180,316,226,902,76,524,281,731,454,855,779,364,214,833,537,590,22,483,751,473,425,685,91,227,37,518,241,318,237,686,453,415,650,938,538,905,652,603,894,866
5,105,37,979,279,837,360,946,591,770,51,848,854,93,194,746,437,982,543,66,538,205,641,353,699,336,847,128,474,701,278,311,16,152,62,366,345,177,763,946,812,22,331,64,433,404,151,918,863,559,628,446,422,867,873,626,563,9
455,588,799,459,930,148,956,53,940,611,342,182,838,3,224,730,774,124,187,248,167,251,864,701,558,815,39,765,629,930,957,948,998,543,164,391,753,365,780,653,578,517,931,562,688,866,704,720,785,73,767,,270,618,907,481,687,514
332,746,310,490,908,701,838,396,437,427,718,998,962,102,435,602,31,163,607,541,896,890,37,374,18,913,581,584,450,573,94,777,843,630,525,832,327,564,105,800,415,743,988,470,846,406,260,609,729,229,331,,787,919,906,598,227,612
759,641,711,295,348,586,96,707,474,744,869,475,607,526,339,22,488,574,32,149,933,868,124,397,508,877,692,351,437,807,483,715,95,664,603,403,467,554,374,11,452,371,136,501,458,297,466,459,656,38,324,,272,642,19,116,338,77
867,631,935,848,577,717,390,678,470,151,906,952,319,724,427,540,737,726,842,937,35,272,303,496,983,764,381,140,67,43,818,315,982,714,784,207,134,344,897,231,411,12,417,418,125,523,421,737,891,629,526,95,579,12,903,690,309,387
871,807,649,353,150,921,601,834,406,256,62,829,16,341,632,896,271,379,520,474,87,474,376,191,477,804,615,656,997,88,626,761,311,149,66,144,893,850,393,875,661,874,370,727,489,198,881,825,630,117,461,567,972,196,5,593,352,770
887,353,625,489,150,691,360,715,773,698,848,329,440,993,34,132,893,915,338,685,825,344,632,432,871,355,698,311,146,76,794,696,394,261,872,713,70,935,194,111,456,104,276,373,673,920,742,816,142,131,55,967,861,807,872,504,392,184
606,628,216,605,631,910,956,864,365,841,501,175,160,139,611,331,290,577,989,294,621,835,724,968,203,267,901,379,573,123,441,71,987,447,41,471,554,890,151,671,542,239,953,900,905,477,49,460,360,623,647,258,517,417,605,503,246,495
343,355,261,0,443,906,662,542,237,897,665,456,805,37,245,635,442,54,641,690,247,178,946,430,61,891,122,687,691,991,416,342,715,264,545,588,452,434,384,374,816,387,556,50,966,728,507,764,327,324,765,286,725,405,530,336,324,214
98,596,698,581,388,731,361,426,569,300,544,669,678,784,602,770,220,310,711,405,507,185,541,778,744,57,819,19,272,493,860,540,597,438,98,990,633,654,924,348,986,8,756,590,435,391,677,932,519,602,6,391,261,594,453,41,852,479
848,364,882,14,737,56,741,686,440,131,720,245,791,611,879,373,282,578,262,451,182,935,551,607,644,760,333,768,967,784,998,13,135,108,771,921,560,486,207,377,933,97,960,877,327,842,363,4,431,117,476,811,750,583,782,867,865,615
632,315,757,146,350,810,55,312,816,31,708,582,805,93,854,662,643,163,794,916,757,380,430,615,96,893,837,136,537,795,344,367,67,200,813,597,933,761,810,993,865,656,533,997,123,763,94,684,224,510,787,997,457,332,478,606,356,212
658,270,881,50,68,88,817,967,607,346,641,864,909,463,229,648,985,377,387,997,152,390,449,108,755,931,454,368,514,720,806,251,426,50,589,373,768,948,336,377,912,422,198,143,684,269,148,650,143,760,388,83,935,703,812,662,646,
